time,Tmean_CCSM4,dT_CCSM4,Tmean_HadGEM,dT_HadGEM2,Tmean_IPSL,dT_IPSL,Tmean_MPI,dT_MPI
1926,13.549615,0.1622422903225793,13.610008,-0.0035842258064509025,12.608642,0.31223235483870937,13.535803,0.014989193548386126
1927,13.787932,0.40055929032257964,13.608322,-0.005270225806452089,12.571363,0.27495335483870953,13.495273,-0.025540806451614273
1928,13.625191,0.23781829032257917,13.643852,0.030259774193549305,12.526581,0.23017135483870987,13.616002,0.09518819354838648
1929,13.404707,0.01733429032258016,13.616014,0.002421774193548387,12.522381,0.225971354838709,13.560554,0.039740193548386316
1930,13.649483,0.26211029032258004,13.627765,0.014172774193548676,12.447577,0.15116735483871047,13.609061,0.08824719354838706
1931,13.74942,0.36204729032258065,13.647218,0.03362577419354906,12.495891,0.19948135483871,13.573291,0.05247719354838587
1932,13.49407,0.10669729032258068,13.604709,-0.008883225806451733,12.605968,0.3095583548387104,13.598095,0.07728119354838725
1933,13.392817,0.005444290322580869,13.500543,-0.11304922580645105,12.296781,3.7135483870898156e-4,13.424783,-0.09603080645161377
1934,13.522569,0.13519629032258074,13.532004,-0.08158822580645086,12.197899,-0.09851064516129071,13.581304,0.06049019354838592
1935,13.344187,-0.04318570967742019,13.711808,0.0982157741935481,12.081574,-0.2148356451612905,13.788866,0.26805219354838705
1936,13.566896,0.17952329032257985,13.712852,0.09925977419354837,12.425547,0.12913735483870958,13.614497,0.09368319354838661
1937,13.630113,0.2427402903225797,13.832185,0.2185927741935494,12.507064,0.21065435483870942,13.530279,0.009465193548386708
1938,13.59405,0.2066772903225793,13.87816,0.26456777419354793,12.441184,0.14477435483870948,13.507625,-0.013188806451612578
1939,13.649585,0.2622122903225801,13.802557,0.18896477419354873,12.355442,0.05903235483870972,13.48911,-0.0317038064516133
1940,13.733449,0.34607629032258025,13.674632,0.061039774193549334,12.446969,0.15055935483870897,13.451511,-0.06930280645161346
1941,13.679027,0.2916542903225796,13.671428,0.05783577419354913,12.488621,0.19221135483870988,13.646157,0.12534319354838708
1942,13.587818,0.2004452903225804,13.875996,0.2624037741935492,12.527447,0.23103735483871013,13.772684,0.25187019354838647
1943,13.625018,0.23764529032258075,13.910225,0.29663277419354905,12.574239,0.2778293548387101,13.540356,0.01954219354838571
1944,13.566477,0.1791042903225808,14.00244,0.38884777419354855,12.517246,0.22083635483870978,13.546304,0.025490193548385776
1945,13.537984,0.1506112903225798,13.96638,0.3527877741935477,12.473251,0.1768413548387091,13.549625,0.028811193548387237
1946,13.6121,0.22472729032257988,13.743196,0.12960377419354785,12.529025,0.23261535483871043,13.491062,-0.029751806451614016
1947,13.7215,0.3341272903225807,13.827902,0.21430977419354846,12.518382,0.22197235483871047,13.613881,0.09306719354838577
1948,13.712023,0.3246502903225803,13.809032,0.19543977419354874,12.515959,0.2195493548387102,13.619322,0.09850819354838691
1949,13.508722,0.12134929032258057,13.82977,0.21617777419354844,12.78874,0.49233035483871035,13.566792,0.04597819354838606
1950,13.527687,0.14031429032258025,13.826903,0.21331077419354827,12.726512,0.4301023548387093,13.670757,0.1499431935483866
1951,13.700136,0.31276329032258054,13.787147,0.1735547741935477,12.685577,0.38916735483871,13.541828,0.021014193548387183
1952,13.751046,0.36367329032258056,13.841923,0.22833077419354808,12.467734,0.17132435483870978,13.660375,0.1395611935483867
1953,13.715892,0.3285192903225802,13.845478,0.2318857741935485,12.629276,0.3328663548387105,13.701918,0.1811041935483857
1954,13.633812,0.24643929032258072,13.646436,0.032843774193548114,12.581439,0.2850293548387093,13.654088,0.13327419354838632
1955,13.65045,0.2630772903225793,13.569798,-0.04379422580645098,12.458766,0.16235635483871036,13.76986,0.24904619354838609
1956,13.720836,0.33346329032258026,13.620936,0.007343774193548924,12.548089,0.25167935483870885,13.670971,0.1501571935483863
1957,13.762179,0.3748062903225797,13.566252,-0.04734022580645103,12.511213,0.21480335483870938,13.639499,0.11868519354838725
1958,13.667785,0.2804122903225803,13.476672,-0.1369202258064508,12.361785,0.06537535483870904,13.576938,0.056124193548386714
1959,13.744941,0.35756829032258075,13.467415,-0.14617722580645065,12.529382,0.2329723548387097,13.526005,0.005191193548386153
1960,13.713937,0.3265642903225796,13.517719,-0.09587322580645186,12.822321,0.5259113548387102,13.490109,-0.03070480645161311
1961,13.597249,0.2098762903225797,13.41584,-0.19775222580645213,12.802034,0.5056243548387105,13.689194,0.16838019354838707
1962,13.572788,0.1854152903225792,13.46938,-0.1442122258064522,12.528663,0.23225335483870957,13.759352,0.23853819354838635
1963,13.428611,0.041238290322580085,13.53492,-0.07867222580645183,12.435874,0.13946435483870978,13.893573,0.3727591935483865
1964,13.442557,0.055184290322580765,13.341171,-0.2724212258064522,12.246991,-0.0494186451612908,13.802806,0.2819921935483869
1965,13.529003,0.14163029032257946,13.394086,-0.21950622580645174,12.151438,-0.14497164516128969,13.631769,0.11095519354838679
1966,13.529096,0.14172329032257913,13.321116,-0.2924762258064515,12.298443,0.002033354838710366,13.568825,0.0480111935483869
1967,13.498972,0.1115992903225802,13.515692,-0.09790022580645186,12.524096,0.2276863548387098,13.620322,0.09950819354838636
1968,13.671795,0.2844222903225795,13.603003,-0.010589225806452163,12.415892,0.11948235483870917,13.767479,0.24666519354838634
1969,13.905392,0.5180192903225809,13.590863,-0.02272922580645087,12.432862,0.13645235483870977,13.566347,0.04553319354838692
1970,13.806669,0.4192962903225794,13.524081,-0.08951122580645077,12.553083,0.25667335483871057,13.611545,0.0907311935483861
1971,13.582948,0.19557529032258003,13.554892,-0.058700225806450845,12.548548,0.25213835483870994,13.869881,0.349067193548386
1972,13.724063,0.33669029032257924,13.68286,0.06926777419354835,12.531147,0.2347373548387104,13.996397,0.4755831935483865
1973,13.699795,0.31242229032257995,13.74885,0.13525777419354768,12.613759,0.31734935483870963,13.961517,0.44070319354838716
1974,13.776649,0.3892762903225808,13.65546,0.04186777419354826,12.659053,0.3626433548387098,13.860501,0.33968719354838584
1975,13.861611,0.4742382903225799,13.637933,0.024340774193548853,12.571289,0.27487935483870984,13.903459,0.38264519354838633
1976,14.029647,0.6422742903225807,13.679071,0.06547877419354897,12.668147,0.37173735483870907,14.012105,0.4912911935483866
1977,13.922843,0.5354702903225803,13.672802,0.059209774193549336,12.696756,0.4003463548387103,14.024625,0.5038111935483869
1978,13.875581,0.4882082903225804,13.664243,0.05065077419354935,12.60783,0.31142035483870956,13.976962,0.45614819354838687
1979,13.932006,0.5446332903225795,13.65564,0.04204777419354855,12.532364,0.23595435483870908,14.096383,0.575569193548386
1980,14.039356,0.6519832903225797,13.590391,-0.02320122580645112,12.551073,0.2546633548387103,14.253426,0.7326121935483858
1981,14.109246,0.7218732903225806,13.538856,-0.07473622580645234,12.711692,0.415282354838709,14.179488,0.6586741935483857
1982,13.984711,0.5973382903225808,13.434242,-0.1793502258064521,12.764866,0.4684563548387093,14.083454,0.5626401935483862
1983,13.841626,0.4542532903225798,13.328716,-0.28487622580645144,12.667833,0.3714233548387096,13.905287,0.38447319354838605
1984,13.858485,0.47111229032257995,13.657801,0.04420877419354774,12.716844,0.4204343548387097,14.113584,0.592770193548386
1985,13.905814,0.5184412903225795,13.786079,0.1724867741935494,12.573394,0.2769843548387101,14.137475,0.6166611935483868
1986,14.088914,0.7015412903225808,13.805044,0.19145177419354908,12.77758,0.48117035483871007,14.093178,0.5723641935483865
1987,14.135625,0.7482522903225792,13.809036,0.1954437741935493,12.913492,0.6170823548387094,14.2133,0.6924861935483868
1988,13.981661,0.5942882903225808,13.820988,0.20739577419354838,12.957902,0.6614923548387104,14.196064,0.6752501935483863
1989,14.017047,0.6296742903225798,13.816988,0.20339577419354882,13.072227,0.7758173548387095,14.394839,0.8740251935483858
1990,14.20685,0.8194772903225793,13.786375,0.17278277419354815,13.126817,0.8304073548387105,14.514721,0.9939071935483863
1991,14.219575,0.8322022903225808,13.740276,0.12668377419354826,12.884207,0.5877973548387097,14.313543,0.7927291935483858
1992,14.001485,0.6141122903225806,13.672911,0.059318774193547696,12.818761,0.52235135483871,13.745271,0.22445719354838722
1993,14.183567,0.79619429032258,13.695694,0.08210177419354814,13.054515,0.75810535483871,13.782441,0.2616271935483869
1994,13.992443,0.6050702903225798,13.859368,0.24577577419354846,13.012272,0.7158623548387091,14.072265,0.5514511935483863
1995,13.969507,0.5821342903225801,14.00447,0.3908777741935481,12.915868,0.6194583548387094,14.098286,0.5774721935483864
1996,14.008188,0.6208152903225805,13.921518,0.3079257741935493,13.02166,0.7252503548387104,14.156599,0.6357851935483865
1997,14.21338,0.8260072903225808,13.935858,0.3222657741935482,13.207003,0.91059335483871,14.201764,0.6809501935483873
1998,14.420976,1.0336032903225796,14.03362,0.4200277741935494,13.369545,1.0731353548387101,14.491398,0.9705841935483868
1999,14.371026,0.9836532903225805,14.007772,0.39417977419354777,13.378193,1.0817833548387092,14.521036,1.000222193548387
2000,14.462617,1.0752442903225798,14.105802,0.49220977419354917,13.440119,1.143709354838709,14.478825,0.958011193548387
2001,14.636089,1.2487162903225801,14.159326,0.5457337741935486,13.435931,1.1395213548387098,14.388184,0.8673701935483873
2002,14.647533,1.2601602903225793,14.341082,0.7274897741935487,13.421336,1.1249263548387098,14.482862,0.9620481935483873
2003,14.453504,1.0661312903225806,14.193121,0.5795287741935482,13.387913,1.091503354838709,14.57442,1.0536061935483865
2004,14.516464,1.1290912903225792,14.099679,0.4860867741935486,13.417794,1.1213843548387104,14.430845,0.9100311935483862
2005,14.603329,1.2159562903225805,14.137623,0.5240307741935482,13.500061,1.2036513548387102,14.408416,0.8876021935483873
2006,14.643324,1.2559512903225798,14.27506,0.6614677741935484,13.357267,1.06085735483871,14.439958,0.9191441935483873
2007,14.623758,1.2363852903225805,14.406495,0.7929027741935482,13.381383,1.0849733548387093,14.43926,0.9184461935483874
2008,14.626076,1.2387032903225794,14.492435,0.878842774193549,13.578753,1.2823433548387104,14.699516,1.1787021935483857
2009,14.649173,1.2618002903225793,14.527841,0.914248774193549,13.666673,1.370263354838709,14.685835,1.1650211935483874
2010,14.74,1.3526272903225802,14.683339,1.0697467741935487,13.729424,1.4330143548387095,14.6169,1.0960861935483859
2011,14.582481,1.1951082903225796,14.753393,1.1398007741935494,13.58778,1.29137035483871,14.680344,1.1595301935483864
2012,14.562188,1.1748152903225808,14.521481,0.9078887741935482,13.571435,1.275025354838709,14.71062,1.189806193548387
2013,14.594488,1.2071152903225801,14.482485,0.868892774193549,13.567609,1.2711993548387088,14.897193,1.3763791935483862
2014,14.841794,1.4544212903225802,14.688745,1.0751527741935494,13.421066,1.1246563548387094,15.083676,1.562862193548387
2015,14.850982,1.4636092903225801,14.824942,1.2113497741935486,13.709559,1.4131493548387102,15.128627,1.6078131935483864
2016,14.856891,1.4695182903225792,14.817657,1.204064774193549,13.935065,1.6386553548387095,14.994044,1.4732301935483871
2017,14.869863,1.4824902903225805,14.751584,1.137991774193548,13.983985,1.6875753548387102,14.908759,1.3879451935483864
2018,14.945325,1.5579522903225804,14.871559,1.257966774193548,13.79722,1.500810354838709,14.932851,1.412037193548386
2019,14.991068,1.6036952903225803,14.840423,1.226830774193548,13.93225,1.6358403548387095,14.803437,1.2826231935483872
2020,14.817079,1.4297062903225797,15.002352,1.3887597741935487,13.849494,1.5530843548387097,15.081584,1.560770193548386
2021,14.960273,1.5729002903225808,15.072983,1.4593907741935492,13.791738,1.4953283548387102,15.212475,1.691661193548386
2022,15.002365,1.6149922903225793,15.069276,1.4556837741935489,13.857287,1.5608773548387092,15.09952,1.5787061935483866
